,#,PLAYER,TEAM,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,EFF
20,21,Zach LaVine,CHI,44,35.7,23.6,8.3,18.1,45.8,2.9,7.7,37.3,4.2,5.0,83.6,0.6,4.1,4.7,4.2,1.0,0.2,2.5,20.5
21,22,Jalen Brunson,NYK,47,34.4,22.4,8.1,17.3,46.8,1.8,4.4,40.2,4.5,5.3,84.4,0.6,2.9,3.5,6.3,1.0,0.3,2.1,21.3
22,23,Kyle Kuzma,WAS,47,35.4,22.2,8.5,18.4,46.0,2.6,7.7,34.0,2.7,3.8,70.2,1.0,6.6,7.6,3.9,0.5,0.5,3.0,20.7
23,24,Kristaps Porzingis,WAS,41,32.6,22.1,7.2,15.4,46.8,1.9,5.5,34.8,5.8,7.0,82.6,2.0,6.8,8.8,2.4,0.9,1.5,2.2,24.0
24,25,Darius Garland,CLE,42,36.0,22.0,7.5,16.8,44.8,2.5,6.3,39.9,4.5,5.2,86.6,0.5,2.4,2.9,8.1,1.4,0.1,3.0,21.6
25,26,Jimmy Butler,MIA,35,33.9,21.8,7.2,13.9,51.9,0.6,1.9,30.3,6.8,8.0,84.7,2.1,4.1,6.1,5.0,2.1,0.3,1.7,25.7
26,27,Anfernee Simons,POR,46,35.8,21.8,7.7,17.3,44.4,3.6,9.7,37.4,2.7,3.0,90.0,0.3,2.5,2.8,4.0,0.7,0.2,2.2,17.3
27,28,Jalen Green,HOU,48,34.6,21.7,7.3,17.8,41.1,2.5,7.6,33.1,4.6,5.9,78.0,0.6,3.6,4.1,3.7,0.7,0.2,2.9,15.8
28,29,Keldon Johnson,SAS,43,32.3,21.5,7.5,17.6,42.9,2.4,7.0,34.1,4.1,5.2,78.1,0.8,4.0,4.8,2.5,0.7,0.2,2.1,16.5
29,30,Bam Adebayo,MIA,45,35.0,21.5,8.6,16.0,54.0,0.0,0.2,10.0,4.3,5.3,80.0,2.8,7.3,10.1,3.1,1.1,0.8,2.7,25.6
